epoch, epoch_loss,  precision,  recall,  f1
73,  324.1174736022949,  93.00285986653957,  82.09357118815214,  87.20836685438455
74,  344.99981689453125,  92.20287660862982,  81.99259508582969,  86.79850347407803
75,  375.27245330810547,  92.20018885741266,  82.16088858970045,  86.89151908872475
76,  340.2397117614746,  91.97670048853814,  82.37967014473242,  86.9140625
77,  331.87017822265625,  91.5925925925926,  83.23796701447324,  87.21565861400107
78,  335.40911865234375,  91.9172932330827,  82.29552339279704,  86.84070324986682
79,  323.81892013549805,  92.32369067876725,  82.17771794008752,  86.95574748464071
80,  309.31350326538086,  92.5293894577171,  82.1272298889263,  87.01854493580599
81,  287.8448829650879,  92.59750094661113,  82.3123527431841,  87.15253029223095
82,  310.85131072998047,  91.96944289174586,  83.0696735106025,  87.29330621628792
83,  281.01465606689453,  92.35560588901473,  82.34601144395826,  87.06405693950177
